2023.04.28 23:06:57 [bffc,c31c] | start thread 
2023.04.28 23:06:57 [bffc,c31c] | payment 900 
2023.04.28 23:06:57 [bffc,c31c] | displayevent 0 
2023.04.28 23:06:58 [bffc,c31c] | displayevent 1 
2023.04.28 23:07:07 [bffc,c31c] | displayevent 0 
2023.04.28 23:07:12 [bffc,c31c] | printer event 
2023.04.28 23:07:13 [bffc,c31c] | disconnect 
2023.04.28 23:07:13 [bffc,6e18] | thread exit 
2023.04.28 23:07:13 [bffc,c31c] | portclose 
2023.05.09 17:03:03 [f5b8,7c44] | MONERA ZVT Terminal Library LAN 02.00 
2023.05.09 17:03:03 [f5b8,7c44] | OpenSSL 1.1.1l  24 Aug 2021 
2023.05.09 17:03:03 [f5b8,7c44] | protocol ctor 
2023.05.09 17:03:03 [f5b8,7c44] | disconnect 
2023.05.09 17:03:03 [f5b8,7c44] | is stopped 
2023.05.09 17:03:03 [f5b8,7c44] | SSL connect: 192.168.2.12:4050 
2023.05.09 17:04:30 [f5b8,2618] | protocol ctor 
2023.05.09 17:04:30 [f5b8,2618] | disconnect 
2023.05.09 17:04:30 [f5b8,2618] | is stopped 
2023.05.09 17:04:30 [f5b8,2618] | SSL connect: 192.168.2.12:4050 
2023.05.09 17:05:08 [f5b8,b918] | protocol ctor 
2023.05.09 17:05:08 [f5b8,b918] | disconnect 
2023.05.09 17:05:08 [f5b8,b918] | is stopped 
2023.05.09 17:05:08 [f5b8,b918] | SSL connect: 192.168.2.12:4050 
2023.05.09 17:18:33 [8078,e018] | MONERA ZVT Terminal Library LAN 02.00 
2023.05.09 17:18:33 [8078,e018] | OpenSSL 1.1.1l  24 Aug 2021 
2023.05.09 17:18:33 [8078,e018] | protocol ctor 
2023.05.09 17:18:33 [8078,e018] | disconnect 
2023.05.09 17:18:33 [8078,e018] | is stopped 
2023.05.09 17:18:33 [8078,e018] | SSL connect: 192.168.2.12:4050 
2023.05.09 17:18:34 [8078,e018] | start thread 
2023.05.09 17:18:34 [8078,e018] | payment 1100 
2023.05.09 17:18:34 [8078,e018] | displayevent 0 
2023.05.09 17:18:34 [8078,e018] | displayevent 1 
2023.05.09 17:18:42 [8078,e018] | disconnect 
2023.05.09 17:18:42 [8078,d840] | thread exit 
2023.05.09 17:18:43 [8078,e018] | portclose 
2023.05.09 17:23:04 [8078,37fc] | protocol ctor 
2023.05.09 17:23:04 [8078,37fc] | disconnect 
2023.05.09 17:23:04 [8078,37fc] | is stopped 
2023.05.09 17:23:04 [8078,37fc] | SSL connect: 192.168.2.12:4050 
2023.05.09 17:23:04 [8078,37fc] | start thread 
2023.05.09 17:23:04 [8078,37fc] | payment 900 
2023.05.09 17:23:05 [8078,37fc] | displayevent 0 
2023.05.09 17:23:05 [8078,37fc] | displayevent 1 
